Category,Vendor Name,File Name
Grocery and Supermarkets,"{""ReceiptInfo"": {""ITEMS"": [{""description"": ""092097112568 TAPCON BIT <A>"", ""quantity"": 1, ""totalPrice"": 7.94, ""unitPrice"": 7.94}, {""description"": ""092097281554 TAPCON 3/16 <A>"", ""quantity"": 1, ""totalPrice"": 5.91, ""unitPrice"": 5.91}, {""description"": ""049223595481 KDSFEPICHNGR <A>"", ""quantity"": 1, ""totalPrice"": 12.62, ""unitPrice"": 12.62}, {""description"": ""048374508487 DC TOWEL 3PK <A, U>"", ""quantity"": 1, ""totalPrice"": 5.48, ""unitPrice"": 5.48}, {""description"": ""049223001180 10-PIECE BRA <A>"", ""quantity"": 1, ""totalPrice"": 8.22, ""unitPrice"": 8.22}, {""description"": ""885911627283 DWAMI30 <A>"", ""quantity"": 1, ""totalPrice"": 24.97, ""unitPrice"": 24.97}], ""address"": ""421 ALAKAWA STREET HONOLULU, HI 96817"", ""city"": ""HONOLULU"", ""merchant"": ""How doers"", ""phoneNumber"": ""(808)521-7355"", ""receiptDate"": ""09/30/23"", ""receiptTime"": ""01:11 PM"", ""state"": ""HI"", ""tax"": 3.07, ""total"": 68.21}}",19
Grocery and Supermarkets,"{""ReceiptInfo"": {""ITEMS"": [{""description"": ""1 Beef Crunchy Taco"", ""quantity"": 1, ""totalPrice"": 1.79, ""unitPrice"": 1.79}, {""description"": ""1 Beef Soft Taco"", ""quantity"": 1, ""totalPrice"": 1.79, ""unitPrice"": 1.79}, {""description"": ""1 Chzy Bean Rice Bur"", ""quantity"": 1, ""totalPrice"": 1.89, ""unitPrice"": 1.89}, {""description"": ""1 Chips N Cheese"", ""quantity"": 1, ""totalPrice"": 2.79, ""unitPrice"": 2.79}], ""address"": ""376 Kamehameha Hwy Pearl City, HI 96782"", ""city"": ""Pearl City"", ""merchant"": ""Taco Bell 002491"", ""phoneNumber"": ""(808)486-9697"", ""receiptDate"": ""10/13/2023"", ""receiptTime"": ""1:12:30 PM"", ""state"": ""HI"", ""tax"": 0.39, ""total"": 8.65}}",28
Grocery and Supermarkets,"{""ReceiptInfo"": {""ITEMS"": [{""description"": ""1 Happy Meal Ch Burger"", ""quantity"": 1, ""totalPrice"": 4.39, ""unitPrice"": 4.39}, {""description"": ""1 Cheeseburger NO Pickle"", ""quantity"": 1, ""totalPrice"": null, ""unitPrice"": null}, {""description"": ""1 Extra Kids Fry"", ""quantity"": 1, ""totalPrice"": null, ""unitPrice"": null}, {""description"": ""1 Apple Juice"", ""quantity"": 1, ""totalPrice"": null, ""unitPrice"": null}, {""description"": ""1 S Apl Jc Surcharge"", ""quantity"": 1, ""totalPrice"": null, ""unitPrice"": null}, {""description"": ""1 ELEMENTAL"", ""quantity"": 1, ""totalPrice"": null, ""unitPrice"": null}, {""description"": ""1 S Grimace Bday Shake"", ""quantity"": 1, ""totalPrice"": 3.69, ""unitPrice"": 3.69}, {""description"": ""1 S Shake Surcharge"", ""quantity"": 1, ""totalPrice"": null, ""unitPrice"": null}], ""address"": ""3549 RUSSETT GREEN E (WM#1985) MD ANNE"", ""city"": ""<UNKNOWN>"", ""merchant"": ""McDonald's Restaurant #14616"", ""phoneNumber"": ""301-7767980"", ""receiptDate"": ""07/04/2023"", ""receiptTime"": ""04:24 PM"", ""state"": ""MD"", ""tax"": 0.48, ""total"": 8.56}}",90
Grocery and Supermarkets,"{""ReceiptInfo"": {""ITEMS"": [{""description"": ""1 Lg Ice Orig Latte"", ""quantity"": 1, ""totalPrice"": 5.59, ""unitPrice"": 5.59}], ""address"": ""2560 McCarthy Mall Honolulu, HI 96822"", ""city"": ""Honolulu"", ""merchant"": ""Dunkin'"", ""phoneNumber"": ""<UNKNOWN>"", ""receiptDate"": ""9/25/2023"", ""receiptTime"": ""8:18 AM"", ""state"": ""HI"", ""tax"": 0.26, ""total"": 5.85}}",66
Grocery and Supermarkets,"{""ReceiptInfo"": {""ITEMS"": [{""description"": ""1 Md Ice Orig Latte"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 5.19, ""unitPrice"": 5.19}, {""description"": ""1 Chkn RstdPep Wrap"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 4.79, ""unitPrice"": 4.79}], ""address"": ""2560 McCarthy Mall Honolulu, HI 96822"", ""city"": ""Honolulu"", ""merchant"": ""Welcome to <UNKNOWN>"", ""phoneNumber"": ""(808) 956-6728"", ""receiptDate"": ""9/21/2023"", ""receiptTime"": ""12:55 PM"", ""state"": ""HI"", ""tax"": 0.47, ""total"": 10.45}}",5
Grocery and Supermarkets,"{""ReceiptInfo"": {""ITEMS"": [{""description"": ""1 Md Ice Orig Latte"", ""quantity"": 1, ""totalPrice"": 5.19, ""unitPrice"": 5.19}], ""address"": ""2560 McCarthy Mall Honolulu, HI 96822"", ""city"": ""Honolulu"", ""merchant"": ""Dunkin'"", ""phoneNumber"": ""(808) 956-6728"", ""receiptDate"": ""9/5/2023"", ""receiptTime"": ""8:16 AM"", ""state"": ""HI"", ""tax"": 0.24, ""total"": 5.43}}",52
Grocery and Supermarkets,"{""ReceiptInfo"": {""ITEMS"": [{""description"": ""1 Plate"", ""quantity"": 1, ""totalPrice"": 10.6, ""unitPrice"": 10.6}, {""description"": ""FRIED RICE-1/2"", ""quantity"": 1, ""totalPrice"": 0.0, ""unitPrice"": 0.0}, {""description"": ""FRIED <UNKNOWN>"", ""quantity"": 1, ""totalPrice"": 0.0, ""unitPrice"": 0.0}, {""description"": ""STR BN CKN BRST"", ""quantity"": 1, ""totalPrice"": 0.0, ""unitPrice"": 0.0}, {""description"": ""ORANGE CKN"", ""quantity"": 1, ""totalPrice"": 0.0, ""unitPrice"": 0.0}, {""description"": ""1 XTRA ENTREE"", ""quantity"": 1, ""totalPrice"": 1.5, ""unitPrice"": 1.5}, {""description"": ""VEG SPRING <UNKNOWN>"", ""quantity"": 0, ""totalPrice"": 0.0, ""unitPrice"": 0.0}, {""description"": ""<UNKNOWN>"", ""quantity"": 0, ""totalPrice"": 0.0, ""unitPrice"": 0.0}], ""address"": ""Honclulu, HI"", ""city"": ""Honclulu"", ""merchant"": ""Panda Express #2150"", ""phoneNumber"": ""(808)956-7229"", ""receiptDate"": ""6/9/2023"", ""receiptTime"": ""11:02:50 AM"", ""state"": ""HI"", ""tax"": 0.57, ""total"": 12.67}}",56
Grocery and Supermarkets,"{""ReceiptInfo"": {""ITEMS"": [{""description"": ""10RAINBOW PLAYBALL EACH"", ""quantity"": 1, ""totalPrice"": 7.99, ""unitPrice"": 7.99}, {""description"": ""CFRIO SF PEG BAG 3Z"", ""quantity"": 1, ""totalPrice"": 3.99, ""unitPrice"": 3.99}, {""description"": ""CFRIO SF PEG BAG 3Z"", ""quantity"": 1, ""totalPrice"": 3.99, ""unitPrice"": 3.99}], ""address"": ""4211 WAIALAE AVE"", ""city"": ""null"", ""merchant"": ""Longs"", ""phoneNumber"": ""808.732.0781"", ""receiptDate"": ""MAY 11, 2022"", ""receiptTime"": ""6:44 PM"", ""state"": ""HI"", ""tax"": 16.72, ""total"": 16.72}}",15
Grocery and Supermarkets,"{""ReceiptInfo"": {""ITEMS"": [{""description"": ""1125156 ORG LATE JUL"", ""quantity"": 1, ""totalPrice"": 16.99, ""unitPrice"": 16.99}, {""description"": ""222464 MOZZ STICKS"", ""quantity"": 1, ""totalPrice"": 0.99, ""unitPrice"": 0.99}, {""description"": ""169730 FR <UNKNOWN>"", ""quantity"": 1, ""totalPrice"": 3.2, ""unitPrice"": 3.2}, {""description"": ""1678104 ORG AVO OIL."", ""quantity"": 1, ""totalPrice"": 15.99, ""unitPrice"": 15.99}, {""description"": ""155138 SHAVED PARM"", ""quantity"": 1, ""totalPrice"": 16.69, ""unitPrice"": 16.69}, {""description"": ""737160 KIMCHI"", ""quantity"": 1, ""totalPrice"": 6.99, ""unitPrice"": 6.99}, {""description"": ""1620336 GUACAMOLE"", ""quantity"": 1, ""totalPrice"": 9.99, ""unitPrice"": 9.99}, {""description"": ""1036732 ORG CELERY"", ""quantity"": 1, ""totalPrice"": 5.99, ""unitPrice"": 5.99}, {""description"": ""1487676 MINI LIGHTS"", ""quantity"": 1, ""totalPrice"": 24.99, ""unitPrice"": 24.99}, {""description"": ""47825 GREEN <UNKNOWN>"", ""quantity"": 1, ""totalPrice"": 6.59, ""unitPrice"": 6.59}, {""description"": ""2955509 DIAPERS SZ 4"", ""quantity"": 1, ""totalPrice"": 52.49, ""unitPrice"": 52.49}, {""description"": ""1344105 BLUE DOGFOOD"", ""quantity"": 1, ""totalPrice"": 65.89, ""unitPrice"": 65.89}, {""description"": ""33605 FILET STEAK"", ""quantity"": 1, ""totalPrice"": 57.77, ""unitPrice"": 57.77}, {""description"": ""27003 STRAWBERRIES"", ""quantity"": 1, ""totalPrice"": 5.39, ""unitPrice"": 5.39}], ""address"": ""Hawaii Kai #120, Keahole Street, HI 96825"", ""city"": ""HONOLULU"", ""merchant"": ""COSTCO"", ""phoneNumber"": ""<UNKNOWN>"", ""receiptDate"": ""11/07/2023"", ""receiptTime"": ""18:10"", ""state"": ""HI"", ""tax"": 13.74, ""total"": 305.28}}",93
Grocery and Supermarkets,"{""ReceiptInfo"": {""ITEMS"": [{""description"": ""138169 SLICE CHEESE"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 1.99, ""unitPrice"": 1.99}, {""description"": ""138177 SLICE PEP"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 1.99, ""unitPrice"": 1.99}, {""description"": ""1178075 CB MCHA FRZE"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 2.99, ""unitPrice"": 2.99}, {""description"": ""1641177 FC MANGO"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 2.99, ""unitPrice"": 2.99}], ""address"": ""333A Keahole Street Honolulu, HI 96825"", ""city"": ""Honolulu"", ""merchant"": ""COSTCO WHOLESALE"", ""phoneNumber"": ""null"", ""receiptDate"": ""null"", ""receiptTime"": ""null"", ""state"": ""HI"", ""tax"": 0.47, ""total"": 10.43}}",35
Grocery and Supermarkets,"{""ReceiptInfo"": {""ITEMS"": [{""description"": ""16oz Iced Latte"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 5.0, ""unitPrice"": 5.0}], ""address"": ""591 Collaboration Way Newark, DE 19713"", ""city"": ""Newark"", ""merchant"": ""Grain Exchange"", ""phoneNumber"": null, ""receiptDate"": ""7/12/23"", ""receiptTime"": ""9:10 AM"", ""state"": ""DE"", ""tax"": null, ""total"": 5.0}}",44
Grocery and Supermarkets,"{""ReceiptInfo"": {""ITEMS"": [{""description"": ""18668 CHKN TAQUITO"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 14.79, ""unitPrice"": 14.79}, {""description"": ""2619 ORG BANANAS"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 2.99, ""unitPrice"": 2.99}, {""description"": ""1669642 ORG BLEND"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 15.99, ""unitPrice"": 15.99}, {""description"": ""1747314 SRDOUGH BRD"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 4.99, ""unitPrice"": 4.99}, {""description"": ""815544 KS BLUEBERRY"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 8.99, ""unitPrice"": 8.99}, {""description"": ""<UNKNOWN> JACKS SALSA"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 6.99, ""unitPrice"": 6.99}, {""description"": ""647465 AVOCADOS"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 6.89, ""unitPrice"": 6.89}, {""description"": ""<UNKNOWN> POTATO BAKE"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 9.99, ""unitPrice"": 9.99}, {""description"": ""4893 CREAM CHEESE"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 11.99, ""unitPrice"": 11.99}, {""description"": ""<UNKNOWN> ORGNC BS BST"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 28.87, ""unitPrice"": 28.87}, {""description"": ""7000070 KS BACON"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 19.99, ""unitPrice"": 19.99}, {""description"": ""29433 SW WRAP"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 18.1, ""unitPrice"": 18.1}, {""description"": ""943649 PIE PUMPKINS"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 4.99, ""unitPrice"": 4.99}, {""description"": ""3 WHOLE MILK"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 5.79, ""unitPrice"": 5.79}, {""description"": ""3 WHOLE <UNKNOWN>"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 5.79, ""unitPrice"": 5.79}, {""description"": ""1009806 ALL IN PAN"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 49.99, ""unitPrice"": 49.99}], ""address"": ""333A Keahole Street <UNKNOWN> HI 96825"", ""city"": ""<UNKNOWN>"", ""merchant"": ""COSTCO"", ""phoneNumber"": ""<UNKNOWN>"", ""receiptDate"": ""09/28/2023"", ""receiptTime"": ""17:48"", ""state"": ""HI"", ""tax"": 9.76, ""total"": 216.89}}",17
Grocery and Supermarkets,"{""ReceiptInfo"": {""ITEMS"": [{""description"": ""2 Bean Burrito"", ""discountAmount"": 0.0, ""quantity"": 2, ""totalPrice"": 3.78, ""unitPrice"": 1.89}, {""description"": ""2 No Red Sauce"", ""discountAmount"": 0.0, ""quantity"": 2, ""totalPrice"": 0.0, ""unitPrice"": 0.0}, {""description"": ""2 NO Onion"", ""discountAmount"": 0.0, ""quantity"": 2, ""totalPrice"": 0.0, ""unitPrice"": 0.0}, {""description"": ""2 Add Beef"", ""discountAmount"": 0.0, ""quantity"": 2, ""totalPrice"": 2.2, ""unitPrice"": 1.1}], ""address"": ""717 Kapahulu Ave Honolulu, HI 96816"", ""city"": ""Honolulu"", ""merchant"": ""Taco Bell 001281"", ""phoneNumber"": ""(808)737-7337"", ""receiptDate"": ""10/4/2023"", ""receiptTime"": ""7:09:19 PM"", ""state"": ""HI"", ""tax"": 0.28, ""total"": 6.26}}",63
Grocery and Supermarkets,"{""ReceiptInfo"": {""ITEMS"": [{""description"": ""2 QTY SIG DIET T"", ""quantity"": 1, ""totalPrice"": 3.0, ""unitPrice"": 3.0}, {""description"": ""DEP SFTDK SNGL FS"", ""quantity"": 1, ""totalPrice"": 0.1, ""unitPrice"": 0.1}, {""description"": ""FEE SFTDK SNGL FS"", ""quantity"": 1, ""totalPrice"": 0.02, ""unitPrice"": 0.02}], ""address"": ""2855 East Manoa Road HONOLULU HI 96822"", ""city"": ""HONOLULU"", ""merchant"": ""SAFEWAY"", ""phoneNumber"": ""(808) 988-2058"", ""receiptDate"": ""02/27/23"", ""receiptTime"": ""19:04"", ""state"": ""HI"", ""tax"": 0.14, ""total"": 3.26}}",4
Grocery and Supermarkets,"{""ReceiptInfo"": {""ITEMS"": [{""description"": ""2023 Gold Pass"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 79.99, ""unitPrice"": 79.99}, {""description"": ""2023 Season Pass"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 59.99, ""unitPrice"": 59.99}], ""address"": ""Regstr 103 Park 10"", ""city"": ""Hawaii"", ""merchant"": ""Wet'N'Wild Hawaii Water Park"", ""phoneNumber"": ""<UNKNOWN>"", ""receiptDate"": ""08/06/2023"", ""receiptTime"": ""10:36"", ""state"": ""HI"", ""tax"": 6.6, ""total"": 146.58}}",89
Grocery and Supermarkets,"{""ReceiptInfo"": {""ITEMS"": [{""description"": ""295000078 Reusble Bags"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 0.99, ""unitPrice"": 0.99}, {""description"": ""020195783 <UNKNOWN>"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 20.0, ""unitPrice"": 20.0}, {""description"": ""020033896 PAJAMA BOTTO"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 12.99, ""unitPrice"": 12.99}, {""description"": ""020032901 Stars Above"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 15.0, ""unitPrice"": 15.0}, {""description"": ""002051181 SHOE RACKS."", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 17.0, ""unitPrice"": 17.0}, {""description"": ""049080049 Therabreath"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 8.49, ""unitPrice"": 8.49}, {""description"": ""063003819 Raw Sugar"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 9.99, ""unitPrice"": 9.99}, {""description"": ""063009386 Native"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 8.74, ""unitPrice"": 8.74}, {""description"": ""063000593 Native"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 8.74, ""unitPrice"": 8.74}, {""description"": ""063000283 Raw Sugar"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 9.99, ""unitPrice"": 9.99}, {""description"": ""063008049 Raw Sugar"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 9.99, ""unitPrice"": 9.99}, {""description"": ""082027946 AIM"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 9.99, ""unitPrice"": 9.99}, {""description"": ""082025021 All in Moton"", ""discountAmount"": null, ""quantity"": 1, ""totalPrice"": 12.99, ""unitPrice"": 12.99}], ""address"": ""1450 Ala Moana Blvd, Ste 2401 <UNKNOWN> Hawaii 96814-4604"", ""city"": ""<UNKNOWN>"", ""merchant"": ""Oahu Honolulu Ala Moana - 808-206-7162"", ""phoneNumber"": ""808-206-7162"", ""receiptDate"": ""10/20/2023"", ""receiptTime"": ""08:15 PM"", ""state"": ""Hawaii"", ""tax"": 6.83, ""total"": 151.73}}",105
Grocery and Supermarkets,"{""ReceiptInfo"": {""ITEMS"": [{""description"": ""3 FINGER COMBO"", ""quantity"": 1, ""totalPrice"": 10.89, ""unitPrice"": 10.89}, {""description"": ""BOX COMBO"", ""quantity"": 1, ""totalPrice"": 12.39, ""unitPrice"": 12.39}, {""description"": ""BOX COMBO"", ""quantity"": 1, ""totalPrice"": 12.39, ""unitPrice"": 12.39}, {""description"": ""SWEET TEA"", ""quantity"": 1, ""totalPrice"": null, ""unitPrice"": null}], ""address"": ""Hawaii Kai Town Center Honolulu HI 96825"", ""city"": ""Honolulu"", ""merchant"": ""Raising CHICKEN"", ""phoneNumber"": ""<UNKNOWN>"", ""receiptDate"": ""9/17/2023"", ""receiptTime"": ""3:07:16 PM"", ""state"": ""HI"", ""tax"": 1.68, ""total"": 37.35}}",78
Grocery and Supermarkets,"{""ReceiptInfo"": {""ITEMS"": [{""description"": ""365WFM OG ITALIAN BAG"", ""quantity"": 1, ""totalPrice"": 4.19, ""unitPrice"": 4.19}, {""description"": ""365WFM BREADED CALAMARI"", ""quantity"": 1, ""totalPrice"": 4.19, ""unitPrice"": 4.19}, {""description"": ""OG RSTD PEANUT BUTTER"", ""quantity"": 1, ""totalPrice"": 7.99, ""unitPrice"": 7.99}, {""description"": ""<UNKNOWN>"", ""quantity"": null, ""totalPrice"": 0.29, ""unitPrice"": null}, {""description"": ""Tare Weight"", ""quantity"": null, ""totalPrice"": 0.05, ""unitPrice"": null}, {""description"": ""<UNKNOWN>"", ""quantity"": null, ""totalPrice"": 7.29, ""unitPrice"": null}, {""description"": ""<UNKNOWN>"", ""quantity"": null, ""totalPrice"": 2.11, ""unitPrice"": null}, {""description"": ""OVF OG UHT WHOLE MLK"", ""quantity"": 1, ""totalPrice"": 6.99, ""unitPrice"": 6.99}, {""description"": ""365WFM PECAN HALVES"", ""quantity"": 1, ""totalPrice"": 14.49, ""unitPrice"": 14.49}], ""address"": ""388 Kamakee St Ste 100 Honolulu, HI 96814 5200"", ""city"": ""Honolulu"", ""merchant"": ""WHOLE FOODS MARKET"", ""phoneNumber"": ""808-379-1800"", ""receiptDate"": ""08/02/2023"", ""receiptTime"": ""05:03 PM"", ""state"": ""HI"", ""tax"": 1.69, ""total"": 37.46}}",47
